,ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,end_type,basic_eps,diluted_eps,total_revenue,revenue,int_income,prem_earned,comm_income,n_commis_income,n_oth_income,n_oth_b_income,prem_income,out_prem,une_prem_reser,reins_income,n_sec_tb_income,n_sec_uw_income,n_asset_mg_income,oth_b_income,fv_value_chg_gain,invest_income,ass_invest_income,forex_gain,total_cogs,oper_cost,int_exp,comm_exp,biz_tax_surchg,sell_exp,admin_exp,fin_exp,assets_impair_loss,prem_refund,compens_payout,reser_insur_liab,div_payt,reins_exp,oper_exp,compens_payout_refu,insur_reser_refu,reins_cost_refund,other_bus_cost,operate_profit,non_oper_income,non_oper_exp,nca_disploss,total_profit,income_tax,n_income,n_income_attr_p,minority_gain,oth_compr_income,t_compr_income,compr_inc_attr_p,compr_inc_attr_m_s,ebit,ebitda,insurance_exp,undist_profit,distable_profit,rd_exp,fin_exp_int_exp,fin_exp_int_inc,transfer_surplus_rese,transfer_housing_imprest,transfer_oth,adj_lossgain,withdra_legal_surplus,withdra_legal_pubfund,withdra_biz_devfund,withdra_rese_fund,withdra_oth_ersu,workers_welfare,distr_profit_shrhder,prfshare_payable_dvd,comshare_payable_dvd,capit_comstock_div,continued_net_profit,update_flag
0,000001.SZ,20221025,20221025,20220930,1,2,3,1.78,1.78,138265000000.0,138265000000.0,170491000000.0,,28052000000.0,22396000000.0,18520000000.0,106000000.0,,,,,,,,106000000.0,3215000000.0,10818000000.0,,4121000000.0,91970000000.0,,73142000000.0,5656000000.0,1291000000.0,,36519000000.0,,,,,,,,91970000000.0,,,,,46295000000.0,50000000.0,233000000.0,,46112000000.0,9453000000.0,36659000000.0,36659000000.0,,-269000000.0,36390000000.0,36390000000.0,,,,,,,,,,,,,,,,,,,,,,,,36659000000.0,1
1,000001.SZ,20220818,20220818,20220630,1,2,2,1.03,1.03,92022000000.0,92022000000.0,112789000000.0,,19602000000.0,16062000000.0,11901000000.0,69000000.0,,,,,,,,69000000.0,1648000000.0,7769000000.0,,2182000000.0,64061000000.0,,48730000000.0,3540000000.0,867000000.0,,24349000000.0,,,,,,,,64061000000.0,,,,,27961000000.0,29000000.0,207000000.0,,27783000000.0,5695000000.0,22088000000.0,22088000000.0,,1016000000.0,23104000000.0,23104000000.0,,27912000000.0,29546000000.0,,,,,,,,,,,,,,,,,,,,,22088000000.0,1
2,000001.SZ,20220427,20220427,20220331,1,2,1,0.56,0.56,46207000000.0,46207000000.0,56331000000.0,,10736000000.0,8887000000.0,5378000000.0,23000000.0,,,,,,,,23000000.0,690000000.0,3878000000.0,,661000000.0,29867000000.0,,24389000000.0,1849000000.0,438000000.0,,12106000000.0,,,,,,,,29867000000.0,,,,,16340000000.0,14000000.0,170000000.0,,16184000000.0,3334000000.0,12850000000.0,12850000000.0,,-94000000.0,12756000000.0,12756000000.0,,,,,,,,,,,,,,,,,,,,,,,,12850000000.0,1
3,000001.SZ,20220310,20220310,20211231,1,2,4,1.73,1.73,169383000000.0,169383000000.0,213536000000.0,,40190000000.0,33062000000.0,15985000000.0,105000000.0,,,,,,,,105000000.0,2080000000.0,12243000000.0,,1320000000.0,123398000000.0,,93200000000.0,7128000000.0,1644000000.0,,47937000000.0,,,,,,,,123398000000.0,,,,,45985000000.0,158000000.0,264000000.0,,45879000000.0,9543000000.0,36336000000.0,36336000000.0,,1323000000.0,37659000000.0,37659000000.0,,,,,,,,,,,,,,,,,,,,,,,,36336000000.0,0
4,000001.SZ,20220310,20220310,20211231,1,2,4,1.73,1.73,169383000000.0,169383000000.0,213536000000.0,,40190000000.0,33062000000.0,15985000000.0,105000000.0,,,,,,,,105000000.0,2080000000.0,12243000000.0,,1320000000.0,123398000000.0,,93200000000.0,7128000000.0,1644000000.0,,47937000000.0,,,,,,,,123398000000.0,,,,,45985000000.0,158000000.0,264000000.0,,45879000000.0,9543000000.0,36336000000.0,36336000000.0,,1323000000.0,37659000000.0,37659000000.0,,47183000000.0,50642000000.0,,,,,,,,,,,,,,,,,,,,,36336000000.0,1
5,000001.SZ,20211021,20211021,20210930,1,2,3,1.4,1.4,127190000000.0,127190000000.0,158687000000.0,,30789000000.0,25439000000.0,12190000000.0,108000000.0,,,,,,,,108000000.0,1502000000.0,9367000000.0,,993000000.0,90361000000.0,,69126000000.0,5350000000.0,1229000000.0,,35370000000.0,,,,,,,,90361000000.0,,,,,36829000000.0,84000000.0,126000000.0,,36787000000.0,7652000000.0,29135000000.0,29135000000.0,,1114000000.0,30249000000.0,30249000000.0,,,,,,,,,,,,,,,,,,,,,,,,29135000000.0,0
6,000001.SZ,20210820,20210820,20210630,1,2,2,0.8,0.8,84680000000.0,84680000000.0,104832000000.0,,20688000000.0,17398000000.0,7921000000.0,76000000.0,,,,,,,,76000000.0,1215000000.0,5963000000.0,,505000000.0,62265000000.0,,45471000000.0,3290000000.0,820000000.0,,23160000000.0,,,,,,,,62265000000.0,,,,,22415000000.0,26000000.0,100000000.0,,22341000000.0,4758000000.0,17583000000.0,17583000000.0,,1001000000.0,18584000000.0,18584000000.0,,23688000000.0,25394000000.0,,,,,,,,,,,,,,,,,,,,,17583000000.0,1
7,000001.SZ,20210421,20210421,20210331,1,2,1,0.42,0.42,41788000000.0,41788000000.0,52074000000.0,,10733000000.0,8481000000.0,3541000000.0,24000000.0,,,,,,,,24000000.0,176000000.0,2757000000.0,,503000000.0,28859000000.0,,22308000000.0,2252000000.0,412000000.0,,11750000000.0,,,,,,,,28859000000.0,,,,,12929000000.0,19000000.0,74000000.0,,12874000000.0,2742000000.0,10132000000.0,10132000000.0,,383000000.0,10515000000.0,10515000000.0,,,,,,,,,,,,,,,,,,,,,,,,10132000000.0,1
8,000001.SZ,20210202,20210202,20201231,1,2,4,1.4,1.4,153542000000.0,153542000000.0,187187000000.0,,53296000000.0,43481000000.0,10411000000.0,111000000.0,,,,,,,,111000000.0,-614000000.0,9921000000.0,,762000000.0,116633000000.0,,87537000000.0,9815000000.0,1525000000.0,,44690000000.0,,,,,,,,116633000000.0,,,,,36909000000.0,77000000.0,232000000.0,,36754000000.0,7826000000.0,28928000000.0,28928000000.0,,-1852000000.0,27076000000.0,27076000000.0,,37716000000.0,40936000000.0,,,,,,,,,,,,,,,,,,,,,28928000000.0,0
9,000001.SZ,20210202,20210202,20201231,1,2,4,1.4,1.4,153542000000.0,153542000000.0,187187000000.0,,53296000000.0,43481000000.0,10411000000.0,111000000.0,,,,,,,,111000000.0,-614000000.0,9921000000.0,,762000000.0,116633000000.0,,87537000000.0,9815000000.0,1525000000.0,,44690000000.0,,,,,,,,116633000000.0,,,,,36909000000.0,77000000.0,232000000.0,,36754000000.0,7826000000.0,28928000000.0,28928000000.0,,-1852000000.0,27076000000.0,27076000000.0,,37716000000.0,40936000000.0,,,,,,,,,,,,,,,,,,,,,28928000000.0,1
10,000001.SZ,20201022,20201022,20200930,1,2,3,1.11,1.11,116564000000.0,116564000000.0,140781000000.0,,39843000000.0,32239000000.0,9171000000.0,62000000.0,,,,,,,,62000000.0,-49000000.0,8303000000.0,,683000000.0,87641000000.0,,65627000000.0,7604000000.0,1156000000.0,,32095000000.0,,,,,,,,87641000000.0,,,,,28923000000.0,53000000.0,150000000.0,,28826000000.0,6428000000.0,22398000000.0,22398000000.0,,-1502000000.0,20896000000.0,20896000000.0,,,,,,,,,,,,,,,,,,,,,,,,22398000000.0,1
11,000001.SZ,20201022,20201022,20200930,1,2,3,1.11,1.11,116564000000.0,116564000000.0,140781000000.0,,39843000000.0,32239000000.0,9171000000.0,62000000.0,,,,,,,,62000000.0,-49000000.0,8303000000.0,,683000000.0,87641000000.0,,65627000000.0,7604000000.0,1156000000.0,,32095000000.0,,,,,,,,87641000000.0,,,,,28923000000.0,53000000.0,150000000.0,,28826000000.0,6428000000.0,22398000000.0,22398000000.0,,-1502000000.0,20896000000.0,20896000000.0,,,,,,,,,,,,,,,,,,,,,,,,22398000000.0,0
12,000001.SZ,20200828,20200828,20200630,1,2,2,0.66,0.66,78328000000.0,78328000000.0,94986000000.0,,24355000000.0,19722000000.0,8301000000.0,44000000.0,,,,,,,,44000000.0,-493000000.0,8025000000.0,,548000000.0,60669000000.0,,44681000000.0,4633000000.0,798000000.0,,21380000000.0,,,,,,,,60669000000.0,,,,,17659000000.0,28000000.0,100000000.0,,17587000000.0,3909000000.0,13678000000.0,13678000000.0,,-156000000.0,13522000000.0,13522000000.0,,18296000000.0,19767000000.0,,,,,,,,,,,,,,,,,,,,,13678000000.0,0
13,000001.SZ,20200828,20200828,20200630,1,2,2,0.66,0.66,78328000000.0,78328000000.0,94986000000.0,,24355000000.0,19722000000.0,8301000000.0,44000000.0,,,,,,,,44000000.0,-493000000.0,8025000000.0,,548000000.0,60669000000.0,,44681000000.0,4633000000.0,798000000.0,,21380000000.0,,,,,,,,60669000000.0,,,,,17659000000.0,28000000.0,100000000.0,,17587000000.0,3909000000.0,13678000000.0,13678000000.0,,-156000000.0,13522000000.0,13522000000.0,,18296000000.0,19767000000.0,,,,,,,,,,,,,,,,,,,,,13678000000.0,1
14,000001.SZ,20200421,20200421,20200331,1,2,1,0.4,0.4,37926000000.0,37926000000.0,47877000000.0,,11581000000.0,9688000000.0,3468000000.0,25000000.0,,,,,,,,25000000.0,-949000000.0,3802000000.0,,510000000.0,26928000000.0,,23107000000.0,1893000000.0,402000000.0,,10598000000.0,,,,,,,,26928000000.0,,,,,10998000000.0,18000000.0,58000000.0,,10958000000.0,2410000000.0,8548000000.0,8548000000.0,,1702000000.0,10250000000.0,10250000000.0,,,,,,,,,,,,,,,,,,,,,,,,8548000000.0,0
15,000001.SZ,20200214,20200214,20191231,1,2,4,1.54,1.45,137958000000.0,137958000000.0,177549000000.0,,45903000000.0,36743000000.0,11254000000.0,110000000.0,,,,,,,,110000000.0,49000000.0,9710000000.0,,1196000000.0,101669000000.0,,87588000000.0,9160000000.0,1290000000.0,,40852000000.0,,,,,,,,101669000000.0,,,,,36289000000.0,99000000.0,148000000.0,,36240000000.0,8045000000.0,28195000000.0,28195000000.0,,1528000000.0,29723000000.0,29723000000.0,,37345000000.0,40686000000.0,,,,,,,,,,,,,,,,,,,,,28195000000.0,0
16,000001.SZ,20200214,20200214,20191231,1,2,4,1.54,1.45,137958000000.0,137958000000.0,177549000000.0,,45903000000.0,36743000000.0,11254000000.0,110000000.0,,,,,,,,110000000.0,49000000.0,9710000000.0,,1196000000.0,101669000000.0,,87588000000.0,9160000000.0,1290000000.0,,40852000000.0,,,,,,,,101669000000.0,,,,,36289000000.0,99000000.0,148000000.0,,36240000000.0,8045000000.0,28195000000.0,28195000000.0,,1528000000.0,29723000000.0,29723000000.0,,37345000000.0,40686000000.0,,,,,,,,,,,,,,,,,,,,,28195000000.0,1
17,000001.SZ,20191022,20191022,20190930,1,2,3,1.32,1.32,102958000000.0,102958000000.0,131813000000.0,,34534000000.0,27831000000.0,8858000000.0,66000000.0,,,,,,,,66000000.0,-183000000.0,7717000000.0,,1098000000.0,72245000000.0,,65544000000.0,6703000000.0,952000000.0,,30297000000.0,,417000000.0,,,,,,72245000000.0,,,,,30713000000.0,62000000.0,99000000.0,,30676000000.0,7055000000.0,23621000000.0,23621000000.0,,1189000000.0,24810000000.0,24810000000.0,,,,,,,,,,,,,,,,,,,,,,,,23621000000.0,0
18,000001.SZ,20190808,20190808,20190630,1,2,2,0.85,0.78,67829000000.0,67829000000.0,87111000000.0,,22555000000.0,18391000000.0,5799000000.0,39000000.0,,,,,,,,39000000.0,144000000.0,4938000000.0,,530000000.0,47792000000.0,,43472000000.0,4164000000.0,607000000.0,,19981000000.0,,,,,,,,47792000000.0,,,,,20037000000.0,39000000.0,73000000.0,,20003000000.0,4600000000.0,15403000000.0,15403000000.0,,797000000.0,16200000000.0,16200000000.0,,20431000000.0,21926000000.0,,,,,,,,,,,,,,,,,,,,,15403000000.0,1
19,000001.SZ,20190808,20190808,20190630,1,2,2,0.85,0.78,67829000000.0,67829000000.0,87111000000.0,,22555000000.0,18391000000.0,5799000000.0,39000000.0,,,,,,,,39000000.0,144000000.0,4938000000.0,,530000000.0,47792000000.0,,43472000000.0,4164000000.0,607000000.0,,19981000000.0,,,,,,,,47792000000.0,,,,,20037000000.0,39000000.0,73000000.0,,20003000000.0,4600000000.0,15403000000.0,15403000000.0,,797000000.0,16200000000.0,16200000000.0,,20431000000.0,21926000000.0,,,,,,,,,,,,,,,,,,,,,15403000000.0,0
20,000001.SZ,20190424,20190424,20190331,1,2,1,0.38,0.36,32476000000.0,32476000000.0,42661000000.0,,11579000000.0,9560000000.0,2142000000.0,17000000.0,,,,,,,,17000000.0,-642000000.0,2571000000.0,,169000000.0,22809000000.0,,21887000000.0,2019000000.0,304000000.0,,9620000000.0,,,,,,,,22809000000.0,,,,,9667000000.0,29000000.0,25000000.0,,9671000000.0,2225000000.0,7446000000.0,7446000000.0,,599000000.0,8045000000.0,8045000000.0,,,,,,,,,,,,,,,,,,,,,,,,7446000000.0,0
21,000001.SZ,20190307,20190307,20181231,1,2,4,1.39,1.39,116716000000.0,116716000000.0,162888000000.0,,39362000000.0,31297000000.0,10674000000.0,170000000.0,,,,,,,,170000000.0,892000000.0,9186000000.0,,209000000.0,84411000000.0,,88143000000.0,8065000000.0,1149000000.0,,35391000000.0,,,,,,,,84411000000.0,,,,,32305000000.0,28000000.0,102000000.0,,32231000000.0,7413000000.0,24818000000.0,24818000000.0,,912000000.0,25730000000.0,25730000000.0,,32362000000.0,34827000000.0,,,,,,,,,,,,,,,,,,,,,24818000000.0,1
22,000001.SZ,20190307,20190307,20181231,1,2,4,1.39,1.39,116716000000.0,116716000000.0,162888000000.0,,39362000000.0,31297000000.0,10674000000.0,170000000.0,,,,,,,,170000000.0,892000000.0,9186000000.0,,209000000.0,84411000000.0,,88143000000.0,8065000000.0,1149000000.0,,35391000000.0,,,,,,,,84411000000.0,,,,,32305000000.0,28000000.0,102000000.0,,32231000000.0,7413000000.0,24818000000.0,24818000000.0,,912000000.0,25730000000.0,25730000000.0,,80176000000.0,82641000000.0,,,,,,,,,,,,,,,,,,,,,24818000000.0,0
23,000001.SZ,20181024,20181024,20180930,1,2,3,1.14,1.14,86664000000.0,86664000000.0,121661000000.0,,28923000000.0,23705000000.0,8430000000.0,144000000.0,,,,,,,,144000000.0,1047000000.0,7099000000.0,,-40000000.0,60050000000.0,,67132000000.0,5218000000.0,847000000.0,,25581000000.0,,55000000.0,,,,,,60050000000.0,,,,,26614000000.0,14000000.0,62000000.0,,26566000000.0,6110000000.0,20456000000.0,20456000000.0,,463000000.0,20919000000.0,20919000000.0,,,,,,,,,,,,,,,,,,,,,,,,20456000000.0,0
24,000001.SZ,20180816,20180816,20180630,1,2,2,0.73,0.73,57241000000.0,57241000000.0,82008000000.0,,21061000000.0,17939000000.0,1866000000.0,109000000.0,,,,,,,,109000000.0,545000000.0,1187000000.0,,-60000000.0,39839000000.0,,44572000000.0,3122000000.0,561000000.0,,16980000000.0,,62000000.0,,,,,,39839000000.0,,,,,17402000000.0,6000000.0,41000000.0,,17367000000.0,3995000000.0,13372000000.0,13372000000.0,,457000000.0,13829000000.0,13829000000.0,,39700000000.0,40808000000.0,,,,,,,,,,,,,,,,,,,,,13372000000.0,0
25,000001.SZ,20180816,20180816,20180630,1,2,2,0.73,0.73,57241000000.0,57241000000.0,82008000000.0,,21061000000.0,17939000000.0,1866000000.0,109000000.0,,,,,,,,109000000.0,545000000.0,1187000000.0,,-60000000.0,39839000000.0,,44572000000.0,3122000000.0,561000000.0,,16980000000.0,,62000000.0,,,,,,39839000000.0,,,,,17402000000.0,6000000.0,41000000.0,,17367000000.0,3995000000.0,13372000000.0,13372000000.0,,457000000.0,13829000000.0,13829000000.0,,17464000000.0,18572000000.0,,,,,,,,,,,,,,,,,,,,,13372000000.0,1
26,000001.SZ,20180420,20180420,20180331,1,2,1,0.33,0.33,28026000000.0,28026000000.0,40944000000.0,,9947000000.0,8594000000.0,745000000.0,76000000.0,,,,,,,,76000000.0,373000000.0,416000000.0,,-178000000.0,19442000000.0,,22257000000.0,1353000000.0,261000000.0,,8510000000.0,,10671000000.0,,,,,,19442000000.0,,,,,8584000000.0,5000000.0,22000000.0,,8567000000.0,1972000000.0,6595000000.0,6595000000.0,,151000000.0,6746000000.0,6746000000.0,,19255000000.0,,,,,,,,,,,,,,,,,,,,,,6595000000.0,0
27,000001.SZ,20180315,20180315,20171231,1,2,4,1.3,1.3,105786000000.0,105786000000.0,148068000000.0,,35725000000.0,30674000000.0,1103000000.0,186000000.0,,,,,,,,186000000.0,-61000000.0,632000000.0,,166000000.0,75563000000.0,,74059000000.0,5051000000.0,1022000000.0,,31616000000.0,,42925000000.0,,,,,,75563000000.0,,,,,30223000000.0,38000000.0,104000000.0,,30157000000.0,6968000000.0,23189000000.0,23189000000.0,,281000000.0,23470000000.0,23470000000.0,,73148000000.0,75324000000.0,,,,,,,,,,,,,,,,,,,,,23189000000.0,1
